bitki;ara_baglanti;sonuc;tip
kuşkonmaz;birlikte ekilebilir;domates;sebze
kuşkonmaz;birlikte ekilebilir;maydanoz;sebze
pancar;birlikte ekilebilir;brokoli;sebze
pancar;birlikte ekilebilir;lahana;sebze
pancar;birlikte ekilebilir;marul;sebze
pancar;birlikte ekilebilir;soğan;sebze
pancar;birlikte ekilebilir;pirinç;sebze
pancar;birlikte ekilebilir;çarkıfelek meyvesi;sebze
pirinç;birlikte ekilebilir;pancar;sebze
pirinç;birlikte ekilebilir;soğan;sebze
pirinç;birlikte ekilebilir;patates;sebze
pirinç;birlikte ekilebilir;mısır;sebze
brokoli;birlikte ekilebilir;marul;sebze
lahana;birlikte ekilebilir;fasulye;sebze
lahana;birlikte ekilebilir;kereviz;sebze
havuç;birlikte ekilebilir;domates;sebze
havuç;birlikte ekilebilir;fasulye;sebze
havuç;birlikte ekilebilir;pırasa;sebze
havuç;birlikte ekilebilir;marul;sebze
havuç;birlikte ekilebilir;soğan;sebze
havuç;birlikte ekilebilir;çarkıfelek meyvesi;sebze
karnabahar;birlikte ekilebilir;fasulye;sebze
karnabahar;birlikte ekilebilir;kereviz;sebze
karnabahar;birlikte ekilebilir;ıspanak;sebze
karnabahar;birlikte ekilebilir;bezelye;sebze
kereviz;birlikte ekilebilir;fasulye;sebze
kereviz;birlikte ekilebilir;pirinç;sebze
kereviz;birlikte ekilebilir;salatalık;sebze
pazı;birlikte ekilebilir;pirinç;sebze
pazı;birlikte ekilebilir;çarkıfelek meyvesi;sebze
mısır;birlikte ekilebilir;fasulye;sebze
mısır;birlikte ekilebilir;kabak;sebze
mısır;birlikte ekilebilir;soya fasulye;sebze
mısır;birlikte ekilebilir;domates;sebze
mısır;birlikte ekilebilir;fasulye;sebze
mısır;birlikte ekilebilir;kabak;sebze
mısır;birlikte ekilebilir;soya fasulye;sebze
mısır;birlikte ekilebilir;domates;sebze
salatalık;birlikte ekilebilir;fasulye;sebze
salatalık;birlikte ekilebilir;marul;sebze
patlıcan;birlikte ekilebilir;fasulye;sebze
patlıcan;birlikte ekilebilir;biber;sebze
patlıcan;birlikte ekilebilir;domates;sebze
patlıcan;birlikte ekilebilir;çarkıfelek meyvesi;sebze
patlıcan;birlikte ekilebilir;fasulye;sebze
patlıcan;birlikte ekilebilir;biber;sebze
patlıcan;birlikte ekilebilir;domates;sebze
patlıcan;birlikte ekilebilir;çarkıfelek meyvesi;sebze
pırasa;birlikte ekilebilir;havuç;sebze
pırasa;birlikte ekilebilir;kereviz;sebze
pırasa;birlikte ekilebilir;soğan;sebze
pırasa;birlikte ekilebilir;domates;sebze
pırasa;birlikte ekilebilir;çarkıfelek meyvesi;sebze
baklagiller;birlikte ekilebilir;pancar;sebze
baklagiller;birlikte ekilebilir;marul;sebze
baklagiller;birlikte ekilebilir;bamya;sebze
baklagiller;birlikte ekilebilir;patates;sebze
baklagiller;birlikte ekilebilir;ıspanak;sebze
baklagiller;birlikte ekilebilir;dereotu;sebze
baklagiller;birlikte ekilebilir;lahana;sebze
baklagiller;birlikte ekilebilir;havuç;sebze
baklagiller;birlikte ekilebilir;pazı;sebze
baklagiller;birlikte ekilebilir;patlıcan;sebze
baklagiller;birlikte ekilebilir;bezelye;sebze
baklagiller;birlikte ekilebilir;domates;sebze
baklagiller;birlikte ekilebilir;pirinç;sebze
baklagiller;birlikte ekilebilir;mısır;sebze
baklagiller;birlikte ekilebilir;salatalık;sebze
baklagiller;birlikte ekilebilir;üzüm;sebze
marul;birlikte ekilebilir;pancar;sebze
marul;birlikte ekilebilir;fasulye;sebze
marul;birlikte ekilebilir;bamya;sebze
marul;birlikte ekilebilir;soğan;sebze
marul;birlikte ekilebilir;brokoli;sebze
marul;birlikte ekilebilir;havuç;sebze
marul;birlikte ekilebilir;çarkıfelek meyvesi;sebze
bamya;birlikte ekilebilir;tatlı patates;sebze
bamya;birlikte ekilebilir;domates;sebze
bamya;birlikte ekilebilir;biber;sebze
soğan;birlikte ekilebilir;pancar;sebze
soğan;birlikte ekilebilir;pirinç;sebze
soğan;birlikte ekilebilir;lahana;sebze
soğan;birlikte ekilebilir;brokoli;sebze
soğan;birlikte ekilebilir;havuç;sebze
soğan;birlikte ekilebilir;marul;sebze
soğan;birlikte ekilebilir;salatalık;sebze
soğan;birlikte ekilebilir;biber;sebze
soğan;birlikte ekilebilir;çarkıfelek meyvesi;sebze
soğan;birlikte ekilebilir;çilek;sebze
soğan;birlikte ekilebilir;yesil soğan;sebze
bezelye;birlikte ekilebilir;pirinç;sebze
bezelye;birlikte ekilebilir;şalgam;sebze
bezelye;birlikte ekilebilir;karnabahar;sebze
bezelye;birlikte ekilebilir;sarımsak;sebze
biber;birlikte ekilebilir;bamya;sebze
patates;birlikte ekilebilir;pirinç;sebze
patates;birlikte ekilebilir;fasulye;sebze
patates;birlikte ekilebilir;mısır;sebze
patates;birlikte ekilebilir;bezelye;sebze
patates;birlikte ekilebilir;çarkıfelek meyvesi;sebze
balkabağı;birlikte ekilebilir;mısır;sebze
balkabağı;birlikte ekilebilir;fasulye;sebze
turp;birlikte ekilebilir;kabak;sebze
turp;birlikte ekilebilir;patlıcan;sebze
turp;birlikte ekilebilir;salatalık;sebze
turp;birlikte ekilebilir;marul;sebze
turp;birlikte ekilebilir;bezelye;sebze
turp;birlikte ekilebilir;fasulye;sebze
ıspanak;birlikte ekilebilir;pirinç;sebze
ıspanak;birlikte ekilebilir;karnabahar;sebze
ıspanak;birlikte ekilebilir;çarkıfelek meyvesi;sebze
kabak;birlikte ekilebilir;mısır;sebze
kabak;birlikte ekilebilir;fasulye;sebze
kabak;birlikte ekilebilir;bamya;sebze
tatlı patates;birlikte ekilebilir;bamya;sebze
domates;birlikte ekilebilir;kereviz;sebze
domates;birlikte ekilebilir;gül;sebze
domates;birlikte ekilebilir;biber;sebze
domates;birlikte ekilebilir;kuşkonmaz;sebze
şalgam;birlikte ekilebilir;bezelye;sebze
şalgam;birlikte ekilebilir;brokoli;sebze
çilek;birlikte ekilebilir;marul;meyve
çilek;birlikte ekilebilir;soğan;meyve
çilek;birlikte ekilebilir;ıspanak;meyve
çilek;birlikte ekilebilir;çarkıfelek meyvesi;meyve
fesleğen;birlikte ekilebilir;domates;bitki
fesleğen;birlikte ekilebilir;biber;bitki
fesleğen;birlikte ekilebilir;kekik;bitki
fesleğen;birlikte ekilebilir;kuşkonmaz;bitki
fesleğen;birlikte ekilebilir;petunya;bitki
fesleğen;birlikte ekilebilir;üzüm;bitki
papatya;birlikte ekilebilir;anason;bitki
papatya;birlikte ekilebilir;fesleğen;bitki
papatya;birlikte ekilebilir;kimyon;bitki
papatya;birlikte ekilebilir;kişniş;bitki
papatya;birlikte ekilebilir;dereotu;bitki
papatya;birlikte ekilebilir;rezene;bitki
papatya;birlikte ekilebilir;keten;bitki
papatya;birlikte ekilebilir;sarımsak;bitki
papatya;birlikte ekilebilir;çörekotu;bitki
papatya;birlikte ekilebilir;lavanta;bitki
papatya;birlikte ekilebilir;kekik;bitki
papatya;birlikte ekilebilir;maydanoz;bitki
papatya;birlikte ekilebilir;nane;bitki
papatya;birlikte ekilebilir;biberiye;bitki
papatya;birlikte ekilebilir;adaçayı;bitki
papatya;birlikte ekilebilir;nane;bitki
papatya;birlikte ekilebilir;pirinç;bitki
papatya;birlikte ekilebilir;salatalık;bitki
papatya;birlikte ekilebilir;soğan;bitki
papatya;birlikte ekilebilir;lahana;bitki
kişniş;birlikte ekilebilir;anason;bitki
kişniş;birlikte ekilebilir;lahana;bitki
kişniş;birlikte ekilebilir;ıspanak;bitki
kişniş;birlikte ekilebilir;marul;bitki
kişniş;birlikte ekilebilir;domates;bitki
kişniş;birlikte ekilebilir;anason;bitki
kişniş;birlikte ekilebilir;lahana;bitki
kişniş;birlikte ekilebilir;ıspanak;bitki
kişniş;birlikte ekilebilir;marul;bitki
kişniş;birlikte ekilebilir;domates;bitki
dereotu;birlikte ekilebilir;pirinç;bitki
dereotu;birlikte ekilebilir;brokoli;bitki
dereotu;birlikte ekilebilir;lahana;bitki
dereotu;birlikte ekilebilir;mısır;bitki
dereotu;birlikte ekilebilir;patlıcan;bitki
dereotu;birlikte ekilebilir;patlıcan;bitki
dereotu;birlikte ekilebilir;rezene;bitki
dereotu;birlikte ekilebilir;marul;bitki
dereotu;birlikte ekilebilir;soğan;bitki
dereotu;birlikte ekilebilir;salatalık;bitki
sarımsak;birlikte ekilebilir;pirinç;bitki
sarımsak;birlikte ekilebilir;pancar;bitki
sarımsak;birlikte ekilebilir;gül;bitki
sarımsak;birlikte ekilebilir;domates;bitki
sarımsak;birlikte ekilebilir;salatalık;bitki
sarımsak;birlikte ekilebilir;marul;bitki
sarımsak;birlikte ekilebilir;kereviz;bitki
sarımsak;birlikte ekilebilir;bezelye;bitki
sarımsak;birlikte ekilebilir;patates;bitki
çörekotu;birlikte ekilebilir;pirinç;bitki
çörekotu;birlikte ekilebilir;lahana;bitki
çörekotu;birlikte ekilebilir;üzüm;bitki
lavanta;birlikte ekilebilir;marul;bitki
lavanta;birlikte ekilebilir;pirinç;bitki
lavanta;birlikte ekilebilir;soğan;bitki
lavanta;birlikte ekilebilir;domates;bitki
lavanta;birlikte ekilebilir;kekik;bitki
lavanta;birlikte ekilebilir;adaçayı;bitki
lavanta;birlikte ekilebilir;biberiye;bitki
lavanta;birlikte ekilebilir;fesleğen;bitki
lavanta;birlikte ekilebilir;kabak;bitki
kekik;birlikte ekilebilir;üzüm;bitki
kekik;birlikte ekilebilir;domates;bitki
kekik;birlikte ekilebilir;biber;bitki
kekik;birlikte ekilebilir;balkabağı;bitki
maydanoz;birlikte ekilebilir;kuşkonmaz;bitki
maydanoz;birlikte ekilebilir;mısır;bitki
maydanoz;birlikte ekilebilir;mısır;bitki
maydanoz;birlikte ekilebilir;domates;bitki
nane;birlikte ekilebilir;pirinç;bitki
nane;birlikte ekilebilir;lahana;bitki
nane;birlikte ekilebilir;bezelye;bitki
nane;birlikte ekilebilir;domates;bitki
biberiye;birlikte ekilebilir;lahana;bitki
biberiye;birlikte ekilebilir;fasulye;bitki
biberiye;birlikte ekilebilir;pirinç;bitki
biberiye;birlikte ekilebilir;havuç;bitki
kuşkonmaz;birlikte ekilmemeli;soğan;sebze
kuşkonmaz;birlikte ekilmemeli;sarımsak;sebze
kuşkonmaz;birlikte ekilmemeli;patates;sebze
pirinç;birlikte ekilmemeli;domates;sebze
pirinç;birlikte ekilmemeli;biber;sebze
pirinç;birlikte ekilmemeli;çilek;sebze
lahana;birlikte ekilmemeli;üzüm;sebze
havuç;birlikte ekilmemeli;dereotu;sebze
havuç;birlikte ekilmemeli;yabani havuç;sebze
kereviz;birlikte ekilmemeli;mısır;sebze
mısır;birlikte ekilmemeli;domates;sebze
mısır;birlikte ekilmemeli;kereviz;sebze
mısır;birlikte ekilmemeli;domates;sebze
mısır;birlikte ekilmemeli;kereviz;sebze
salatalık;birlikte ekilmemeli;patates;sebze
marul;birlikte ekilmemeli;kereviz;sebze
marul;birlikte ekilmemeli;lahana;sebze
marul;birlikte ekilmemeli;tere;sebze
marul;birlikte ekilmemeli;maydanoz;sebze
soğan;birlikte ekilmemeli;mercimek;sebze
soğan;birlikte ekilmemeli;bezelye;sebze
soğan;birlikte ekilmemeli;fasulye;sebze
biber;birlikte ekilmemeli;fasulye;sebze
patates;birlikte ekilmemeli;havuç;sebze
patates;birlikte ekilmemeli;salatalık;sebze
patates;birlikte ekilmemeli;balkabağı;sebze
patates;birlikte ekilmemeli;ahududu;sebze
patates;birlikte ekilmemeli;kabak;sebze
patates;birlikte ekilmemeli;ayçiçeği;sebze
patates;birlikte ekilmemeli;domates;sebze
balkabağı;birlikte ekilmemeli;patates;sebze
turp;birlikte ekilmemeli;üzüm;sebze
domates;birlikte ekilmemeli;yonca;sebze
domates;birlikte ekilmemeli;mısır;sebze
domates;birlikte ekilmemeli;rezene;sebze
domates;birlikte ekilmemeli;bezelye;sebze
domates;birlikte ekilmemeli;dereotu;sebze
domates;birlikte ekilmemeli;patates;sebze
domates;birlikte ekilmemeli;pirinç;sebze
domates;birlikte ekilmemeli;biberiye;sebze
elma;birlikte ekilmemeli;ceviz;meyve
üzüm;birlikte ekilmemeli;lahana;meyve
üzüm;birlikte ekilmemeli;sarımsak;meyve
üzüm;birlikte ekilmemeli;turp;meyve
çarkıfelek meyvesi;birlikte ekilmemeli;mısır;meyve
çarkıfelek meyvesi;birlikte ekilmemeli;börülce;meyve
çarkıfelek meyvesi;birlikte ekilmemeli;bamya;meyve
çilek;birlikte ekilmemeli;pirinç;meyve
çilek;birlikte ekilmemeli;domates;meyve
çilek;birlikte ekilmemeli;patates;meyve
çilek;birlikte ekilmemeli;patlıcan;meyve
çilek;birlikte ekilmemeli;biber;meyve
çilek;birlikte ekilmemeli;kavun;meyve
çilek;birlikte ekilmemeli;bamya;meyve
çilek;birlikte ekilmemeli;nane;meyve
çilek;birlikte ekilmemeli;gül;meyve
kimyon;birlikte ekilmemeli;dereotu;bitki
dereotu;birlikte ekilmemeli;havuç;bitki
dereotu;birlikte ekilmemeli;domates;bitki
sarımsak;birlikte ekilmemeli;lahana;bitki
sarımsak;birlikte ekilmemeli;üzüm;bitki
maydanoz;birlikte ekilmemeli;marul;bitki
sardunya;birlikte ekilmemeli;domates;cicek
sardunya;birlikte ekilmemeli;tütün;cicek
salatalık;birlikte ekilmemeli;aromatik bitkiler;sebze
biber;birlikte ekilmemeli;brüksel lahanası;sebze
domates;birlikte ekilmemeli;siyah ceviz;sebze
domates;birlikte ekilmemeli;chili biber;sebze
çarkıfelek meyvesi;birlikte ekilmemeli;tatlı patates;meyve
çilek;birlikte ekilmemeli;böğürtlen;meyve
